FK_LOJA,LOJA,DATA,DESCRICAO,FERIADO_FIXO,LOJA_ABERTA,MES,ANO,SEMANA_DO_ANO,ESTACAO_DO_ANO,REGISTO_MAIS_RECENTE,ANO_NOVO,CARNAVAL,DIA_DO_TRABALHADOR,NATAL,PASCOA,SEXTA_FEIRA_SANTA,PASSAGEM_DE_ANO,DIA_DE_TODOS_OS_SANTOS,VERAO,PRIMAVERA,OUTONO,INVERNO
POR423,S - Bento Gonçalves,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2022-06-16,Corpo de Deus,N,1,6,2022,24,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR423,S - Bento Gonçalves,2022-12-08,Dia da Imaculada Conceição,N,1,12,2022,49,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR423,S - Bento Gonçalves,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2022-04-25,Dia da Liberdade,N,1,4,2022,17,Primavera,0,0,0,0,0,0,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2022-06-10,Dia de Portugal,N,1,6,2022,23,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR423,S - Bento Gonçalves,2022-11-01,Dia de Todos os Santos,N,1,11,2022,44,Outono,0,0,0,0,0,0,0,0,1,0,0,1,0
POR423,S - Bento Gonçalves,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2022-05-01,Dia do Trabalhador,N,1,5,2022,17,Primavera,0,0,0,1,0,0,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2023-06-24,Feriado Municipal de Almada,S,1,6,2023,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2022-06-24,Feriado Municipal do Porto,N,1,6,2022,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR423,S - Bento Gonçalves,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR423,S - Bento Gonçalves,2022-10-05,Implantação da República,N,1,10,2022,40,Outono,0,0,0,0,0,0,0,0,0,0,0,1,0
POR423,S - Bento Gonçalves,2023-12-25,Natal,S,0,12,2023,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR423,S - Bento Gonçalves,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2022-04-17,Páscoa,N,1,4,2022,15,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR423,S - Bento Gonçalves,2022-12-01,Restauração da Independência,N,1,12,2022,48,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR423,S - Bento Gonçalves,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR423,S - Bento Gonçalves,2022-04-15,Sexta-feira Santa,N,1,4,2022,15,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR424,S - Lumiar,2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR424,S - Lumiar,2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR424,S - Lumiar,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR424,S - Lumiar,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR424,S - Lumiar,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR424,S - Lumiar,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR424,S - Lumiar,2022-06-13,Feriado Municipal de Lisboa,S,1,6,2022,24,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR424,S - Lumiar,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR424,S - Lumiar,2023-12-25,Natal,S,0,12,2023,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR424,S - Lumiar,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR424,S - Lumiar,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR424,S - Lumiar,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR424,S - Lumiar,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2022-08-15,Assunção de Maria,N,1,8,2022,33,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2022-03-01,Carnaval,N,1,3,2022,9,Primavera,0,0,1,0,0,0,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2022-06-16,Corpo de Deus,N,1,6,2022,24,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2022-12-08,Dia da Imaculada Conceição,N,1,12,2022,49,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2022-04-25,Dia da Liberdade,N,1,4,2022,17,Primavera,0,0,0,0,0,0,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2022-06-10,Dia de Portugal,N,1,6,2022,23,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR425,S - R.Luis Queiroz,2022-11-01,Dia de Todos os Santos,N,1,11,2022,44,Outono,0,0,0,0,0,0,0,0,1,0,0,1,0
POR425,S - R.Luis Queiroz,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2022-05-01,Dia do Trabalhador,N,1,5,2022,17,Primavera,0,0,0,1,0,0,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-06-24,Feriado Municipal de Almada,S,1,6,2023,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2022-06-24,Feriado Municipal do Porto,N,1,6,2022,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR425,S - R.Luis Queiroz,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR425,S - R.Luis Queiroz,2022-10-05,Implantação da República,N,1,10,2022,40,Outono,0,0,0,0,0,0,0,0,0,0,0,1,0
POR425,S - R.Luis Queiroz,2024-12-25,Natal,S,1,12,2024,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2023-12-25,Natal,S,1,12,2023,52,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2022-12-25,Natal,S,1,12,2022,51,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2021-12-25,Natal,S,1,12,2021,51,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2020-12-25,Natal,S,1,12,2020,52,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2022-04-17,Páscoa,N,1,4,2022,15,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2022-12-01,Restauração da Independência,N,1,12,2022,48,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR425,S - R.Luis Queiroz,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR425,S - R.Luis Queiroz,2022-04-15,Sexta-feira Santa,N,1,4,2022,15,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR427,S - Estrada de Benfica,2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR427,S - Estrada de Benfica,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR427,S - Estrada de Benfica,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR427,S - Estrada de Benfica,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2022-06-13,Feriado Municipal de Lisboa,S,1,6,2022,24,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR427,S - Estrada de Benfica,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR427,S - Estrada de Benfica,2024-12-25,Natal,S,1,12,2024,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2023-12-25,Natal,S,1,12,2023,52,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2022-12-25,Natal,S,1,12,2022,51,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2021-12-25,Natal,S,1,12,2021,51,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2020-12-25,Natal,S,1,12,2020,52,Inverno,0,0,0,0,1,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR427,S - Estrada de Benfica,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR427,S - Estrada de Benfica,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR429,S - Carnide,2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR429,S - Carnide,2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR429,S - Carnide,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR429,S - Carnide,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR429,S - Carnide,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR429,S - Carnide,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR429,S - Carnide,2022-06-13,Feriado Municipal de Lisboa,S,1,6,2022,24,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR429,S - Carnide,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR429,S - Carnide,2023-12-25,Natal,S,0,12,2023,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR429,S - Carnide,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR429,S - Carnide,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR429,S - Carnide,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR429,S - Carnide,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR429,S - Carnide,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR430,S - Amadora,2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR430,S - Amadora,2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR430,S - Amadora,2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR430,S - Amadora,2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR430,S - Amadora,2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR430,S - Amadora,2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR430,S - Amadora,2023-09-11,Feriado Municipal da Amadora,S,1,9,2023,37,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR430,S - Amadora,2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR430,S - Amadora,2023-12-25,Natal,S,0,12,2023,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR430,S - Amadora,2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR430,S - Amadora,2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR430,S - Amadora,2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR430,S - Amadora,2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
POR430,S - Amadora,2023-04-07,Sexta-feira Santa,N,1,4,2023,14,Primavera,0,0,0,0,0,0,1,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2024-01-01,Ano Novo,S,1,1,2024,1,Inverno,1,1,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2023-01-01,Ano Novo,S,1,1,2023,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2022-01-01,Ano Novo,S,1,1,2022,52,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2021-01-01,Ano Novo,S,1,1,2021,53,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2020-01-01,Ano Novo,S,1,1,2020,1,Inverno,0,1,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2023-08-15,Assunção de Maria,S,1,8,2023,33,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2022-08-15,Assunção de Maria,N,1,8,2022,33,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2024-02-13,Carnaval,N,1,2,2024,7,Inverno,1,0,1,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2023-02-21,Carnaval,N,1,2,2023,8,Inverno,0,0,1,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2022-03-01,Carnaval,N,1,3,2022,9,Primavera,0,0,1,0,0,0,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2023-06-08,Corpo de Deus,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2022-06-16,Corpo de Deus,N,1,6,2022,24,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2023-12-08,Dia da Imaculada Conceição,S,1,12,2023,49,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2022-12-08,Dia da Imaculada Conceição,N,1,12,2022,49,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2023-04-25,Dia da Liberdade,S,1,4,2023,17,Primavera,1,0,0,0,0,0,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2022-04-25,Dia da Liberdade,N,1,4,2022,17,Primavera,0,0,0,0,0,0,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2023-06-10,Dia de Portugal,S,1,6,2023,23,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2022-06-10,Dia de Portugal,N,1,6,2022,23,Verão,0,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2023-11-01,Dia de Todos os Santos,S,1,11,2023,44,Outono,1,0,0,0,0,0,0,0,1,0,0,1,0
POR432,S - Costa Caparica (Navegantes),2022-11-01,Dia de Todos os Santos,N,1,11,2022,44,Outono,0,0,0,0,0,0,0,0,1,0,0,1,0
POR432,S - Costa Caparica (Navegantes),2023-05-01,Dia do Trabalhador,S,1,5,2023,18,Primavera,1,0,0,1,0,0,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2022-05-01,Dia do Trabalhador,N,1,5,2022,17,Primavera,0,0,0,1,0,0,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2023-06-24,Feriado Municipal de Almada,S,1,6,2023,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2022-06-24,Feriado Municipal do Porto,N,1,6,2022,25,Verão,1,0,0,0,0,0,0,0,0,1,0,0,0
POR432,S - Costa Caparica (Navegantes),2023-10-05,Implantação da República,S,1,10,2023,40,Outono,1,0,0,0,0,0,0,0,0,0,0,1,0
POR432,S - Costa Caparica (Navegantes),2022-10-05,Implantação da República,N,1,10,2022,40,Outono,0,0,0,0,0,0,0,0,0,0,0,1,0
POR432,S - Costa Caparica (Navegantes),2023-12-25,Natal,S,0,12,2023,52,Inverno,1,0,0,0,1,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2024-03-31,Páscoa,N,1,3,2024,13,Primavera,1,0,0,0,0,1,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2023-04-09,Páscoa,N,1,4,2023,14,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2022-04-17,Páscoa,N,1,4,2022,15,Primavera,0,0,0,0,0,1,0,0,0,0,1,0,0
POR432,S - Costa Caparica (Navegantes),2023-12-01,Restauração da Independência,S,1,12,2023,48,Inverno,1,0,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2022-12-01,Restauração da Independência,N,1,12,2022,48,Inverno,0,0,0,0,0,0,0,0,0,0,0,0,1
POR432,S - Costa Caparica (Navegantes),2024-03-29,Sexta-feira Santa,N,1,3,2024,13,Primavera,1,0,0,0,0,0,1,0,0,0,1,0,0
